S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
223,2022/07/18,Call,11101,24,Yes,No,com.samsung.android.incallui
224,2022/07/18,Rapido,25,2,Yes,No,com.rapido.passenger
225,2022/07/15,Android System Intelligence,18,1,No,Yes,com.google.android.as
226,2022/07/17,Rapido,1,1,Yes,No,com.rapido.passenger
227,2022/07/19,Call,3318,23,Yes,No,com.samsung.android.incallui
228,2022/07/16,Rapido,1235,24,Yes,No,com.rapido.passenger
229,2022/07/15,Call,378,16,Yes,No,com.samsung.android.incallui
230,2022/07/16,Call,4017,31,Yes,No,com.samsung.android.incallui
231,2022/07/15,Rapido,96,2,Yes,No,com.rapido.passenger
232,2022/07/19,Android System Intelligence,15,1,No,Yes,com.google.android.as
233,2022/07/21,Google Play Store,73,3,Yes,No,com.android.vending
234,2022/07/21,AccuBattery,57,2,Yes,No,com.digibites.accubattery
235,2022/07/21,Phone,44,5,Yes,No,com.samsung.android.dialer
236,2022/07/20,Phone,37,8,Yes,No,com.samsung.android.dialer
237,2022/07/18,Uber,119,3,Yes,No,com.ubercab
238,2022/07/15,Uber,69,1,Yes,No,com.ubercab
239,2022/07/16,Uber,58,1,Yes,No,com.ubercab
240,2022/07/19,Phone,174,20,Yes,No,com.samsung.android.dialer
241,2022/07/16,Phone,228,31,Yes,No,com.samsung.android.dialer
242,2022/07/15,Phone,37,3,Yes,No,com.samsung.android.dialer
243,2022/07/15,Device care,131,4,Yes,No,com.samsung.android.lool
244,2022/07/18,Phone,148,16,Yes,No,com.samsung.android.dialer
245,2022/07/17,Phone,10,5,Yes,No,com.samsung.android.dialer
246,2022/07/18,Google Play Store,36,2,Yes,No,com.android.vending
247,2022/07/20,Call,147,12,Yes,No,com.samsung.android.incallui
248,2022/07/17,Google Play Store,84,4,Yes,No,com.android.vending
249,2022/07/21,Call,2425,9,Yes,No,com.samsung.android.incallui
250,2022/07/15,Google Play Store,269,9,Yes,No,com.android.vending
251,2022/07/04,freeCode Camp,44,1,Yes,No,org.freecodecamp
252,2022/07/02,MTP application,9,2,No,Yes,com.samsung.android.mtp
253,2022/07/03,Photos,4,1,Yes,No,com.google.android.apps.photos
254,2022/07/02,Gmail,123,8,Yes,No,com.google.android.gm
255,2022/07/04,Gmail,13,3,Yes,No,com.google.android.gm
256,2022/07/02,Device care,237,10,Yes,No,com.samsung.android.lool
257,2022/07/02,Recommended apps,31,1,No,Yes,com.samsung.android.app.omcagent
258,2022/07/04,Device care,50,1,Yes,No,com.samsung.android.lool
259,2022/07/02,Smart Widget,0,1,No,Yes,com.samsung.android.app.smartwidget
260,2022/07/03,Link to Windows Service,0,2,No,Yes,com.samsung.android.mdx
261,2022/07/03,Device care,118,2,Yes,No,com.samsung.android.lool
262,2022/07/04,Google Play Store,576,16,Yes,No,com.android.vending
263,2022/07/02,Photos,56,6,Yes,No,com.google.android.apps.photos
264,2022/07/03,Google Play Store,56,4,Yes,No,com.android.vending
265,2022/07/02,Samsung setup wizard,112,26,No,Yes,com.sec.android.app.SecSetupWizard
266,2022/07/02,Google Play Store,564,25,Yes,No,com.android.vending
267,2022/07/03,Telegram,1068,26,Yes,No,org.telegram.messenger
